bulbs.dat - Based on 'bulbs' tab in CREST Domestic Electricity Demand Model 1.0d by Ian Richardson http://homepages.lboro.ac.uk/~eliwr/
Columns tab delimited - Data starts on line 15 of file.

100 sample bulb configuration examples are provided below.
The data has been generated stochastically, based upon statistics available from:
	(1) The Lighting Association, In Home Lighting Audit Report, Domestic Lighting Report 2008.
	(2) Market Transformation Programme, Assumptions for energy scenarios in the domestic lighting sector, version 4.0, 2008.

Col 0 - House number
Col 1 - Fitting count
Col 2-n - Example bulb ratings



1	16	12	12	50	100	35	60	60	40	9	12	60	60	20	20	60	12																						
2	18	60	60	60	60	70	100	9	40	65	20	60	60	50	9	60	40	60	40																				
3	27	60	60	60	60	40	35	60	60	65	9	35	60	60	100	60	60	60	60	40	100	40	60	12	60	40	50	60											
4	28	60	61	125	100	100	40	100	60	70	100	35	12	100	60	60	60	40	40	60	60	60	100	60	60	20	100	100	50										
5	21	9	60	500	9	56	70	50	60	60	60	60	20	35	100	35	40	60	40	60	60	40																	
6	30	60	40	85	85	20	100	40	500	100	20	12	35	20	60	50	60	60	60	12	9	35	40	35	60	50	60	60	60	35	100								
7	22	100	60	9	100	100	12	100	40	60	60	20	20	65	75	40	60	12	100	60	100	100	35																
8	23	50	60	100	40	100	40	9	12	20	150	85	20	60	40	40	60	20	20	60	40	20	100	40															
9	26	70	60	60	60	100	40	60	60	60	40	40	20	500	60	60	40	60	40	60	100	35	60	60	40	60	60												
10	30	55	9	100	12	100	100	20	40	60	65	12	60	50	60	12	60	12	100	20	35	50	60	40	60	60	9	60	100	12	60								
11	26	150	55	9	100	40	100	60	60	60	40	100	60	60	60	60	60	9	100	60	60	60	50	60	20	19	100												
12	26	20	60	60	40	12	70	20	60	60	40	100	75	40	60	20	60	20	50	100	60	60	60	40	100	12	35												
13	24	55	60	60	40	100	60	500	20	60	40	12	50	60	150	60	100	35	60	60	3	100	100	35	100														
14	22	60	40	70	100	40	60	12	105	60	100	40	60	100	60	40	9	40	60	65	60	12	26																
15	21	60	40	60	12	40	100	60	40	60	40	60	40	60	205	60	35	40	60	300	20	20																	
16	23	60	100	12	60	105	50	50	100	100	60	100	35	12	40	100	50	20	100	60	100	100	60	60															
17	18	40	60	60	60	40	60	35	170	40	12	100	50	20	60	12	40	60	40																				
18	26	100	60	125	60	40	87	100	60	85	60	60	12	20	35	20	40	40	60	40	35	75	60	100	60	60	40												
19	25	60	40	40	40	70	70	40	40	60	60	60	35	50	100	60	100	60	20	100	12	60	100	40	60	40													
20	19	100	40	40	40	60	20	70	20	60	20	9	60	60	35	50	40	50	40	40																			
21	26	40	35	40	60	500	9	40	60	60	40	50	60	60	60	60	5	60	60	35	100	60	60	50	40	40	50												
22	21	85	100	57	40	12	40	60	60	100	100	12	60	60	50	20	21	50	100	60	40	60																	
23	20	40	100	60	9	60	40	40	20	100	100	100	100	60	300	40	100	60	100	60	20																		
24	20	70	40	40	65	60	12	60	100	40	50	50	40	500	60	60	40	40	100	60	60																		
25	25	20	40	40	60	50	60	100	60	100	50	60	40	40	150	40	60	100	60	40	40	35	60	20	20	100													
26	28	60	40	40	43	60	40	20	40	60	55	40	100	35	20	75	60	60	40	40	12	20	40	40	60	60	60	20	9										
27	18	12	40	20	60	50	40	58	105	60	65	60	40	100	60	50	40	60	60																				
28	27	40	100	50	60	50	35	60	12	20	60	60	75	100	60	8	100	100	60	40	60	75	60	150	60	20	60	60											
29	20	40	55	40	100	56	12	40	60	60	100	100	100	40	100	100	60	20	40	60	60																		
30	22	60	55	105	60	60	70	60	60	100	60	100	100	60	40	35	60	60	20	100	60	60	60																
31	26	12	60	60	105	90	100	20	100	40	50	20	100	60	60	20	150	60	60	40	60	12	40	40	65	60	20												
32	19	20	60	12	60	105	60	20	12	50	60	40	60	60	40	60	60	40	60	100																			
33	15	60	60	60	12	20	60	60	40	100	60	40	60	40	300	100																							
34	27	300	40	100	50	60	40	120	12	20	95	50	70	100	40	40	60	100	60	100	60	20	60	100	20	60	300	60											
35	27	500	60	55	100	9	60	60	100	40	12	50	60	100	60	40	50	35	50	9	12	20	60	60	60	60	60	100											
36	38	205	20	70	60	60	9	20	35	65	100	40	40	60	60	40	60	35	35	60	20	60	65	100	100	9	35	35	60	60	60	35	100	60	60	300	12	60	100
37	29	60	20	70	60	100	60	100	50	60	60	100	60	100	48	40	9	60	60	60	9	76	43	12	20	20	60	60	100	12									
38	24	60	50	55	50	20	60	40	40	60	100	60	60	100	12	100	35	60	40	60	60	60	12	50	75														
39	21	40	60	60	12	100	60	100	60	35	60	35	40	60	40	60	100	60	100	35	60	60																	
40	27	100	60	500	60	60	60	60	20	60	100	60	120	40	60	60	60	60	12	60	12	12	100	40	60	40	60	60											
41	15	60	40	100	70	100	60	60	50	60	60	67	6	40	12	40																							
42	29	60	40	100	12	40	60	60	60	20	35	60	40	20	100	20	300	50	12	60	20	60	12	14	35	93	35	60	50	60									
43	21	40	20	70	60	60	35	100	12	60	9	35	35	60	40	100	9	100	100	60	100	60																	
44	27	100	60	60	9	60	40	40	40	60	60	120	40	60	60	60	20	50	87	60	150	100	100	60	55	40	60	60											
45	23	60	60	70	55	40	9	60	60	60	100	20	40	60	60	60	50	40	9	60	60	60	12	35															
46	25	60	135	60	70	100	9	50	60	60	60	100	100	60	40	20	20	20	34	12	50	50	60	60	60	50													
47	29	60	60	100	60	77	60	20	50	35	35	40	60	60	100	60	40	60	60	40	39	100	12	40	60	300	60	35	60	35									
48	25	60	100	40	20	20	60	40	60	20	60	50	40	100	50	100	12	60	100	50	60	40	60	40	300	12													
49	27	60	12	20	100	60	40	60	12	63	60	60	300	9	60	100	100	60	75	60	60	10	60	40	40	40	100	60											
50	24	60	60	60	60	100	40	9	60	40	12	100	35	12	60	60	55	60	40	100	60	100	50	75	60														
51	19	100	60	40	60	20	72	60	40	100	100	50	100	60	60	50	100	40	100	50																			
52	20	60	12	60	35	40	60	60	60	40	50	100	60	300	100	60	35	60	60	40	40																		
53	16	60	60	60	75	50	40	60	40	20	40	60	40	12	60	20	60																						
54	27	160	60	60	12	60	100	60	60	50	60	40	60	40	60	90	60	69	12	40	60	27	40	100	60	40	40	50											
55	27	170	60	105	40	61	60	60	20	65	35	300	30	60	60	100	40	100	40	60	60	60	40	12	12	40	12	100											
56	18	20	9	52	60	100	60	12	100	100	20	60	100	40	60	60	40	60	40																				
57	23	60	40	40	12	40	85	40	100	40	40	75	60	20	60	60	35	100	100	100	150	60	73	100															
58	24	60	65	100	70	40	100	60	90	20	60	60	100	60	50	60	50	40	100	60	60	9	50	35	40														
59	27	40	60	60	100	75	62	17	60	20	40	100	20	81	60	60	100	100	67	60	20	40	60	40	60	20	75	100											
60	26	9	9	40	60	40	40	81	85	60	40	40	9	40	40	60	35	60	60	60	50	40	60	20	100	40	100												
61	29	60	60	60	100	100	100	40	90	40	40	500	100	40	60	60	70	12	60	60	60	40	40	20	35	100	40	35	20	60									
62	26	50	40	40	40	60	100	40	60	75	60	100	40	60	60	20	60	40	20	100	60	60	60	60	100	40	20												
63	26	20	40	35	40	60	60	60	100	40	12	40	300	60	100	40	60	300	94	40	60	40	60	20	60	100	40												
64	15	40	40	60	40	100	35	60	60	100	150	100	60	60	12	21																							
