# appliances.dat - Based on 'appliances' tab in CREST Domestic Electricity Demand Model 1.0d by Ian Richardson http://homepages.lboro.ac.uk/~eliwr/
Columns tab delimited - Data starts on line 35 of file.
Col 0*- Proportion of dwellings with appliance  (Python array indexing starts at 0)
Col 1 - Base no. cycles per year
Col 2 - Calibrated no. cycles per year ( = Col 1 * Calibration(=1)) Calibration should be changed to achieve desired per dwelling average kWh/y
Col 3 - Mean cycle length (min)
Col 4 - Mean cycle power (W)
Col 5 - Standby Power (W)
Col 6 - Delay restart after cycle (min)
Col 7 - Mean cycle energy demand (kWh)
Col 8 - Time running in a year (min)
Col 9 - Time not running in a year (min)
Col 10 - Active occupancy dependent (yes/no)
Col 11 - Proportion of time when starts can occur due to occupancy (= mean active occupancy (0.459) or 1 if appliance not occupancy dependent)
Col 12 - Minutes in year when event can start (= [no seconds in year * Col 11] - [Col 8 + Col 2*Col 6])
Col 13 - Mean time between start events given occupancy ( = Col12/Col2)
Col 14 - Lambda  ( = 1/Col 1)
Col 15 - Short name
Col 16 - Activity use profile
Col 17 - Average activity probability
Col 18 - Calibration scalar (= Col 14/Col 17)
Col 19 - Energy used when on (kWh/y)
Col 20 - Energy used on standby (kWh/y)
Col 21 - Total energy (kWh/y)
Col 22 - Overall average per dwelling taking ownership into account (kWh/y)
Col 23 - Appliance mean power factor

0.163	6116	6116	14	190	0	56	0.0443	85621	439979	No	1.000	97497	16	0.0627	CHEST_FREEZER	LEVEL	1.0000	0.062727765	271	0	271	44	0.8
0.651	6116	6116	22	190	0	44	0.0697	134547	391053	No	1.000	121960	20	0.0501	FRIDGE_FREEZER	LEVEL	1.0000	0.050145664	426	0	426	277	0.8
0.430	6116	6116	18	110	0	36	0.0330	110084	415516	No	1.000	195349	32	0.0313	FRIDGE	LEVEL	1.0000	0.031306838	202	0	202	87	0.8
0.291	6116	6116	20	155	0	40	0.0517	122315	403285	No	1.000	158654	26	0.0385	UPRIGHT_FREEZER	LEVEL	1.0000	0.038547672	316	0	316	92	0.8
0.900	0	0	0	0	1	0	0.0000	0	525600	Yes	0.459	241066	24106644528.0	0.0000	ANSWER_MACHINE	ACTIVE_OCC	1.0000	4.14823E-11	0	9	9	8	1
0.900	1213	1213	60	15	2	0	0.0150	72766	452834	Yes	0.459	168301	139	0.0072	CD_PLAYER	ACTIVE_OCC	1.0000	0.00720593	18	15	33	30	1
0.900	0	0	0	0	2	0	0.0000	0	525600	No	1.000	525600	52560000000.0	0.0000	CLOCK	LEVEL	1.0000	1.90259E-11	0	18	18	16	1
0.900	0	0	0	0	1	0	0.0000	0	525600	Yes	0.459	241066	24106644528.0	0.0000	PHONE	ACTIVE_OCC	1.0000	4.14823E-11	0	9	9	8	1
0.900	109	109	60	100	9	0	0.1000	6566	519034	Yes	0.459	234501	2143	0.0005	HIFI	ACTIVE_OCC	1.0000	0.000466632	11	78	89	80	1
0.900	35	35	30	1000	0	0	0.5000	1064	524536	Yes	0.459	240003	6768	0.0001	IRON	ACT_IRON	0.0185	0.008001825	18	0	18	16	1
0.937	110	110	20	2000	0	0	0.6667	2207	523393	Yes	0.459	238859	2164	0.0005	VACUUM	ACT_HOUSECLEAN	0.0665	0.006952224	74	0	74	69	1
